ID_Topico,Topico
0,
1,"directivo, junta, bayón, asamblea, accionista, felipe, petro, petrolera, superintendencia, visita"
2,"precio, energético, valor, energía, acción, transición, mercado, colombiano, gobierno, reforma"
3,
4,"tasa, tarjeta, interés, crédito, financiero, cliente, bajar, persona, economía, compra"
5,"grupo, precio, sura, dólar, pesos, nutresa, accionista, asamblea, divisa, gilinski"
6,"financiero, servicio, digital, billón, reporte, estabilidad, inflación, proyecto, pesos, materia"
7,"empresa, música, vacante, videojuego, festival, crecimiento, experiencia, sector, área, año"
8,"mujer, cali, género, joven, deportivo, paula, equidad, comercio, marca, choco"
9,
10,"inflación, precio, crecimiento, febrero, cifra, dane, anual, millón, colombiano, sector"
11,"empresa, mercado, méxico, inversión, económico, fondo, investigación, renta, firma, riesgo"
12,"pago, crédito, tarjeta, interés, pagar, compra, cliente, aplicar, impuesto, mastercard"
13,
14,"sector, davivienda, debate, representante, venta, millón, gobierno, proyecto, persona, policía"
15,
16,"usuario, servicio, financiero, pago, plataforma, dinero, aplicación, millón, digital, recibir"
17,
18,"millón, colombiano, colombia, equipo, pesos, persona, gobierno, año, país, caso"
19,
20,"tienda, cierre, venta, cerrar, compañía, empresa, chile, petro, digital, producto"
21,"tarjeta, tasa, interés, banco, crédito, diamante, millón, ikea, compra, cuota"
22,
23,"barra, nacional, enfermedad, jaramillo, síntoma, mundial, selección, club, estadio, persona"
24,"renteer, pulso, programa, óscar, espacio, periodista, fútbol, pasar, londoño, jugador"
25,"volcán, nevado, ruiz, geológico, erupción, desafío, vida, soto, vivir, lalinde"
26,"petro, alcocer, dama, radio, oyente, comisión, cargo, presidencial, presidente, cercano"
27,"gavirio, bogotá, exministro, reforma, corredor, presidente, cultura, salud, hotel, criminal"
28,"gato, año, facultad, universidad, querer, betty, estudiar, hija, telenovela, alviro"
29,
30,"piqué, claro, shakira, chía, hijo, gerard, joven, español, pareja, pasar"
31,"salud, dólares, país, médico, clan, golfo, colombia, gobierno, ocde, bajo"
32,
33,"país, centro, bogotá, fibra, proyecto, tecnología, conectividad, colombia, contrato, oferta"
34,"pantalla, aplicación, celular, imagen, opción, reforma, millón, laboral, sistema, parque"
35,"animal, acción, presentar, nevado, volcán, ruiz, venta, alexa, mascota, carnet"
36,"petro, presidente, junta, directivo, ecopetrol, director, gobierno, cabildo, intervención, experiencia"
37,
38,"colombia, año, persona, barrio, mundo, bogotá, social, negocio, acción, mercado"
39,"energía, proyecto, generación, precio, megavatio, servicio, carrera, sistema, pokémon, energético"
40,
41,"acción, empresa, millón, compañía, argo, sura, colombia, billón, mercado, país"
42,
43,"avión, país, viva, gobierno, decisión, nacional, presentar, caso, ciudad, proyecto"
44,
45,"petro, dark, side, grupo, rock, ayudar, persona, floyd, moon, drag"
46,"millón, vietnam, mercado, ecopetrol, inditex, ortega, natural, servicio, empresa, quan"
47,"riña, amigo, detenido, santo, semana, seguridad, policía, potter, harry, hecho"
48,"criptomoneda, campana, pensión, expresidente, pago, dinero, eliminar, cocina, vitalicio, cobrar"
49,"servicio, trámite, solicitud, usuario, reclamo, administrativo, empresa, acueducto, vanti, cobro"
50,"erdogar, martínez, dibu, esperanza, salud, kilicdaroglu, reforma, sistema, mundial, elección"
51,"honduras, excepción, bukele, hondureño, concejal, salvador, humanos, analista, transmilenio, violencia"
52,"ruso, ucraniano, ucrania, rusia, bali, provocación, terrorista, federación, ataque, balinés"
53,
54,"hidrógeno, energía, energético, país, policía, sector, mujer, transición, nacional, colombia"
55,"millón, euros, país, gobierno, natural, persona, seguir, transporte, sistema, capacidad"
56,"internet, presencia, ruso, persona, ucrania, experiencia, mundo, ucraniano, india, música"
57,
58,"banco, billón, entidad, persona, acción, cartera, financiero, bogotá, cliente, millón"
59,"viva, avianca, partido, integración, laboratorio, tener, pacto, político, aerolínea, decisión"
60,"dale, billetera, digital, servicio, cliente, financiero, fintech, plurall, pago, débito"
61,"ingeniería, méxico, ahorro, córdoba, embajador, año, estudiante, subir, snap, reunión"
62,"barra, monte, fentanilo, violencia, droga, maría, suisse, credit, brava, armado"
63,
64,"jornada, promedio, facturación, hora, crecimiento, presentar, valor, cifra, billón, ticket"
65,
66,"edad, mujer, botero, padre, mínimo, arte, monumento, trans, sistema, reforma"
67,"ruso, joven, país, justicia, sudán, rusia, osteoporosis, sacerdote, violencia, ucraniano"
68,"junta, sura, nutresa, acción, directivo, miembro, gilinski, marca, oferta, accionista"
69,"cocodrilo, especie, universidad, botánico, presidente, crítico, jardín, nacional, orinoco, reforma"
70,"ataxia, canción, salud, imagen, escribir, poder, síntoma, tiempo, jugar, claudia"
71,"cali, caleño, salsa, peñarol, montevideo, tatuaj, sueño, millonario, equipo, gamero"
72,
73,"inflación, tasa, precio, económico, esperar, interés, anual, alto, economía, alimento"
74,"infección, año, urinaria, empresa, millón, bogotá, país, organización, membrana, corrida"
75,
76,"energía, canción, solar, mundial, eólico, millón, electricidad, signo, limpio, salud"
77,"sueño, lighthouse, lúcido, jeff, paul, james, persona, waugh, nivel, luthier"
78,"smith, ucrania, decir, guerra, playa, invisible, rusia, político, mercado, riqueza"
79,"banco, música, tarjeta, tasa, víctima, puente, starbucks, opción, recargar, test"
80,"sometimiento, justicia, proyecto, fiscal, congreso, procuradora, general, proceso, víctima, foro"
81,"arma, lévy, karol, porte, fuego, empresa, país, tenencia, digital, saturday"
82,"startups, startup, reporte, ingreso, dividendo, sector, congelado, ecosistema, región, activista"
83,
84,"trabajo, producto, compañía, programa, disney, laboral, comprador, canal, pequeño, ministerio"
85,"billón, grupo, éxito, millón, logística, compañía, acción, medellín, punto, corporativo"
86,"bello, discapacidad, permitir, aluminio, industrial, empezar, alimento, electrodoméstico, estrategia, cumplir"
87,"presidenta, maría, suicidio, claudia, vicepresidenta, cantante, costanera, marcela, actriz, ángela"
88,"bolsa, galaxy, mochila, video, colombiano, guajira, niño, madre, pobreza, desnutrición"
89,"multilatina, cadena, américa, méxico, almacén, pasar, estudio, firma, número, líder"
90,"redmi, notar, xiaomi, note, band, smart, edición, usuario, festival, cámara"
91,"año, avance, tomar, scotiabank, tarjeta, medida, crédito, adicional, certificación, nivel"
92,"mujer, violencia, seguro, torneo, abaco, donación, espacio, abril, secretaría, distrital"
93,"cera, vehículo, limpio, auto, proteger, pintura, automotriz, limpiador, brillar, producto"
94,"empleabilidad, convocar, juvenil, nestlé, vincular, pacífico, grupo, nielsar, clariant, fuller"
95,
96,"prueba, caso, salud, país, bogotá, ísimo, muestra, departamento, régimen, laboratorio"
97,"farc, grupo, empresa, municipio, año, explicación, vivienda, subsidio, buseta, plata"
98,"marca, jugador, artesano, diseñador, club, valioso, tienda, torné, éxito, carroza"
99,"rincón, freddy, número, tumba, eléctrico, diomed, accidente, carro, renault, abril"
100,
101,"agua, colombia, empresa, marino, serrana, mujer, infante, caballero, grupo, isla"
102,"mezcal, uribe, córdobo, piedad, expresidente, biblia, córdoba, magistrada, libro, relación"
103,"julia, andrés, tormenta, lluvia, huracán, tropical, providencia, paso, hora, afectación"
104,"diclofenaco, signo, joyce, persona, eliot, caso, dolor, demille, ulises, salud"
105,
106,"subasta, energy, comprador, vendedor, participar, mecanismo, matriz, comercializadoro, electrificadoro, celsia"
